 1 	1 	10000 	19602 	0.90 	   20870 	   30674 	0.714 	0.066 	0.010 	0.006 	0.001 	0.019 	0.021
 1 	3 	10000 	19602 	0.90 	   38280 	   76491 	1.388 	0.128 	0.031 	0.008 	0.001 	0.031 	0.039
 1 	5 	10000 	19602 	0.90 	   50956 	  120757 	2.093 	0.193 	0.054 	0.017 	0.003 	0.044 	0.048
 1 	5 	10000 	19602 	0.90 	   50956 	  120757 	2.104 	0.195 	0.056 	0.014 	0.003 	0.044 	0.054
 4 	5 	10000 	19602 	0.90 	   50475 	  121127 	1.238 	0.110 	0.025 	0.005 	0.000 	0.024 	0.027
 4 	3 	101124 	200978 	0.90 	  312027 	  719479 	7.707 	0.713 	0.165 	0.047 	0.029 	0.132 	0.302
