 1 	3 	504100 	1005362 	0.90 	 2714012 	 4195981 	75.324 	5.980 	2.150 	0.925 	0.947 	1.482 	0.251
 2 	3 	504100 	1005362 	0.90 	 2704064 	 4180557 	44.074 	3.368 	1.047 	0.696 	0.457 	0.820 	0.102
 4 	3 	504100 	1005362 	0.90 	 2705233 	 4182610 	23.464 	1.717 	0.486 	0.348 	0.263 	0.405 	0.052
 8 	3 	504100 	1005362 	0.90 	 2713583 	 4195213 	15.338 	1.138 	0.285 	0.251 	0.129 	0.246 	0.038
16 	3 	504100 	1005362 	0.90 	 2707619 	 4197615 	7.643 	0.509 	0.132 	0.098 	0.057 	0.109 	0.016
32 	3 	504100 	1005362 	0.90 	 2707362 	 4196546 	5.455 	0.463 	0.103 	0.113 	0.047 	0.084 	0.011
64 	3 	504100 	1005362 	0.90 	 2713012 	 4199249 	4.734 	0.520 	0.192 	0.071 	0.060 	0.057 	0.065
