 1 	3 	504100 	1005362 	0.90 	 2696169 	 4169524 	75.284 	6.802 	2.131 	0.913 	0.908 	2.391 	0.255
 2 	3 	504100 	1005362 	0.90 	 2688989 	 4160542 	43.556 	3.640 	0.985 	0.667 	0.433 	1.263 	0.088
 4 	3 	504100 	1005362 	0.90 	 2684309 	 4154863 	23.105 	1.932 	0.450 	0.343 	0.256 	0.630 	0.053
 8 	3 	504100 	1005362 	0.90 	 2678123 	 4162074 	13.122 	0.983 	0.253 	0.184 	0.076 	0.329 	0.026
16 	3 	504100 	1005362 	0.90 	 2704855 	 4182156 	7.757 	0.602 	0.136 	0.104 	0.045 	0.181 	0.017
32 	3 	504100 	1005362 	0.90 	 2697804 	 4176251 	4.712 	0.351 	0.074 	0.081 	0.026 	0.091 	0.010
64 	3 	504100 	1005362 	0.90 	 2708187 	 4191062 	3.497 	0.267 	0.062 	0.045 	0.020 	0.069 	0.008
