 1 	3 	504100 	1005362 	0.90 	 1953463 	 3705135 	68.869 	10.864 	1.553 	0.308 	0.609 	0.922 	7.283
 2 	3 	504100 	1005362 	0.90 	 1941698 	 3719796 	41.073 	7.298 	0.689 	0.253 	0.286 	0.440 	5.474
 4 	3 	504100 	1005362 	0.90 	 1916052 	 3728559 	21.631 	2.846 	0.363 	0.129 	0.112 	0.226 	1.943
 8 	3 	504100 	1005362 	0.90 	 1926713 	 3751060 	15.826 	3.349 	0.231 	0.103 	0.161 	0.131 	2.532
16 	3 	504100 	1005362 	0.90 	 1858299 	 3748470 	8.151 	1.600 	0.098 	0.041 	0.025 	0.061 	1.250
32 	3 	504100 	1005362 	0.90 	 1866606 	 3757472 	5.459 	1.228 	0.077 	0.023 	0.025 	0.047 	0.919
64 	3 	504100 	1005362 	0.90 	 1856680 	 3771084 	3.871 	0.854 	0.043 	0.015 	0.017 	0.024 	0.635
