 4  	3 	504100 	1005362 	0.90 	 2701776 	 4181912 	182.712 	13.806 	5.718 	1.269 	2.102 	3.550 	0.963
 8  	3 	504100 	1005362 	0.90 	 2719927 	 4200798 	97.375 	7.363 	2.961 	0.704 	1.145 	1.880 	0.498
16  	3 	504100 	1005362 	0.90 	 2698772 	 4182212 	49.798 	3.844 	1.497 	0.402 	0.554 	0.944 	0.259
32  	3 	504100 	1005362 	0.90 	 2707357 	 4189654 	25.681 	1.890 	0.675 	0.254 	0.214 	0.468 	0.100
64  	3 	504100 	1005362 	0.90 	 2719627 	 4202593 	13.856 	1.135 	0.345 	0.103 	0.158 	0.234 	0.190
128  	3 	504100 	1005362 	0.90 	 2716764 	 4201245 	9.590 	0.911 	0.170 	0.057 	0.064 	0.122 	0.352
256  	3 	504100 	1005362 	0.90 	 2720624 	 4211544 	11.979 	2.463 	0.101 	0.066 	0.085 	0.091 	1.877
