 8 	3 	504100 	1005362 	0.90 	  482832 	 1222909 	76.263 	5.725 	3.722 	1.029 	0.274 	0.143 	0.304
 4 	3 	504100 	1005362 	0.90 	  483496 	 1243122 	145.692 	10.093 	6.686 	1.944 	0.362 	0.292 	0.600
16 	3 	504100 	1005362 	0.90 	  484147 	 1254431 	39.526 	3.136 	2.053 	0.525 	0.138 	0.070 	0.177
32 	3 	504100 	1005362 	0.90 	  484812 	 1270929 	20.349 	1.759 	1.050 	0.289 	0.123 	0.033 	0.077
64 	3 	504100 	1005362 	0.90 	  486053 	 1300827 	11.245 	1.369 	0.624 	0.211 	0.126 	0.016 	0.117
128 	3 	504100 	1005362 	0.90 	  486412 	 1339318 	7.962 	2.053 	0.722 	0.471 	0.186 	0.019 	0.434
256 	3 	504100 	1005362 	0.90 	  486194 	 1356327 	10.442 	4.582 	1.364 	1.371 	0.324 	0.042 	1.298
