 4 	3 	504100 	1005362 	0.90 	  484958 	 1246479 	172.883 	26.657 	6.836 	2.065 	0.379 	0.501 	16.647
 8 	3 	504100 	1005362 	0.90 	  485261 	 1243683 	88.643 	12.826 	3.816 	1.067 	0.236 	0.292 	7.214
16 	3 	504100 	1005362 	0.90 	  485242 	 1239170 	46.816 	6.697 	2.002 	0.519 	0.131 	0.144 	3.718
32 	3 	504100 	1005362 	0.90 	  485824 	 1259436 	25.490 	4.186 	1.049 	0.279 	0.110 	0.071 	2.455
64 	3 	504100 	1005362 	0.90 	  486725 	 1300274 	15.260 	3.150 	0.629 	0.220 	0.131 	0.031 	1.860
128 	3 	504100 	1005362 	0.90 	  487244 	 1336518 	10.022 	2.774 	0.634 	0.377 	0.186 	0.023 	1.371
256 	3 	504100 	1005362 	0.90 	  487328 	 1350423 	14.513 	5.756 	1.323 	1.247 	0.320 	0.041 	2.634
