 1 	3 	504100 	1005362 	0.90 	 1907369 	 4662496 	111.084 	35.051 	11.085 	3.044 	0.514 	1.335 	18.818
 2 	3 	504100 	1005362 	0.90 	 1907272 	 4583660 	68.953 	23.788 	6.651 	2.221 	0.287 	0.943 	13.445
 4 	3 	504100 	1005362 	0.90 	 1905263 	 4312366 	49.021 	17.261 	3.539 	1.512 	0.331 	0.569 	11.073
 8 	3 	504100 	1005362 	0.90 	 1908047 	 4516356 	20.788 	6.785 	1.781 	0.693 	0.075 	0.254 	3.757
16 	3 	504100 	1005362 	0.90 	 1907344 	 4461676 	15.703 	5.498 	1.040 	0.589 	0.181 	0.146 	3.333
32 	3 	504100 	1005362 	0.90 	 1908583 	 4429248 	7.290 	2.713 	0.526 	0.342 	0.057 	0.079 	1.527
64 	3 	504100 	1005362 	0.90 	 1908575 	 4441701 	8.539 	3.293 	0.462 	0.345 	0.130 	0.075 	2.075
