 4 	3 	504100 	1005362 	0.90 	  484974 	 1249447 	143.908 	10.336 	6.798 	1.993 	0.385 	0.299 	0.634
 8 	3 	504100 	1005362 	0.90 	  484981 	 1251621 	75.661 	5.901 	3.912 	1.028 	0.259 	0.147 	0.311
16 	3 	504100 	1005362 	0.90 	  485501 	 1254602 	39.018 	3.239 	2.081 	0.547 	0.157 	0.071 	0.203
32 	3 	504100 	1005362 	0.90 	  486449 	 1274979 	19.806 	1.766 	1.084 	0.291 	0.109 	0.033 	0.068
64 	3 	504100 	1005362 	0.90 	  487172 	 1304265 	11.094 	1.343 	0.611 	0.210 	0.125 	0.016 	0.113
128 	3 	504100 	1005362 	0.90 	  487424 	 1338287 	7.749 	1.914 	0.668 	0.422 	0.196 	0.017 	0.419
256 	3 	504100 	1005362 	0.90 	  487154 	 1355873 	9.355 	3.968 	1.187 	1.148 	0.320 	0.040 	1.098
