 1 	3 	504100 	1005362 	0.90 	 1907351 	 4662652 	75.324 	17.843 	11.384 	3.445 	0.511 	1.043 	1.176
 2 	3 	504100 	1005362 	0.90 	 1907051 	 4610780 	44.074 	11.349 	6.919 	2.446 	0.283 	0.766 	0.693
 4 	3 	504100 	1005362 	0.90 	 1908286 	 4588574 	23.464 	5.810 	3.450 	1.293 	0.135 	0.358 	0.349
 8 	3 	504100 	1005362 	0.90 	 1907545 	 4451512 	15.338 	3.667 	1.956 	0.865 	0.231 	0.202 	0.217
16 	3 	504100 	1005362 	0.90 	 1908007 	 4566748 	7.643 	2.014 	0.969 	0.488 	0.086 	0.133 	0.184
32 	3 	504100 	1005362 	0.90 	 1907986 	 4383538 	5.455 	1.403 	0.581 	0.415 	0.080 	0.089 	0.113
64 	3 	504100 	1005362 	0.90 	 1908623 	 4372634 	4.734 	1.253 	0.469 	0.283 	0.128 	0.085 	0.135
