 1 	3 	504100 	1005362 	0.90 	  482193 	 1222293 	53.335 	4.467 	2.721 	0.753 	0.343 	0.181 	0.185
 2 	3 	504100 	1005362 	0.90 	  482422 	 1234052 	29.454 	2.712 	1.625 	0.530 	0.108 	0.123 	0.107
 4 	3 	504100 	1005362 	0.90 	  483486 	 1240892 	16.205 	1.521 	0.858 	0.324 	0.040 	0.062 	0.068
 8 	3 	504100 	1005362 	0.90 	  483724 	 1229447 	9.133 	0.896 	0.509 	0.160 	0.030 	0.031 	0.036
16 	3 	504100 	1005362 	0.90 	  484939 	 1258698 	5.329 	0.604 	0.284 	0.108 	0.033 	0.024 	0.034
32 	3 	504100 	1005362 	0.90 	  485206 	 1264697 	3.057 	0.384 	0.175 	0.062 	0.018 	0.012 	0.019
64 	3 	504100 	1005362 	0.90 	  486154 	 1299347 	2.467 	0.336 	0.126 	0.057 	0.019 	0.011 	0.019
