 1 	3 	504100 	1005362 	0.90 	 2800579 	 5246913 	75.284 	40.081 	0.618 	0.237 	1.669 	37.552 	0.000
 2 	3 	504100 	1005362 	0.90 	 2799592 	 5246859 	43.556 	20.343 	0.398 	0.153 	1.087 	18.702 	0.000
 4 	3 	504100 	1005362 	0.90 	 2795056 	 5247954 	23.105 	10.284 	0.215 	0.088 	0.549 	9.426 	0.000
 8 	3 	504100 	1005362 	0.90 	 2776590 	 5242767 	13.122 	5.482 	0.125 	0.055 	0.282 	5.015 	0.000
16 	3 	504100 	1005362 	0.90 	 2772005 	 5245068 	7.757 	2.973 	0.068 	0.046 	0.154 	2.700 	0.000
32 	3 	504100 	1005362 	0.90 	 2769705 	 5241792 	4.712 	1.574 	0.039 	0.029 	0.086 	1.417 	0.000
64 	3 	504100 	1005362 	0.90 	 2757312 	 5245506 	3.497 	1.278 	0.034 	0.037 	0.089 	1.114 	0.000
