 1 	3 	504100 	1005362 	0.90 	 2219461 	 5034369 	53.367 	36.751 	0.310 	0.091 	1.409 	34.937 	0.000
 2 	3 	504100 	1005362 	0.90 	 2241994 	 5033244 	29.479 	18.076 	0.218 	0.060 	0.869 	16.925 	0.000
 4 	3 	504100 	1005362 	0.90 	 2323644 	 5036244 	19.080 	10.419 	0.137 	0.060 	0.562 	9.655 	0.000
 8 	3 	504100 	1005362 	0.90 	 2315388 	 5025978 	9.081 	4.779 	0.063 	0.025 	0.250 	4.437 	0.000
16 	3 	504100 	1005362 	0.90 	 2357239 	 5016285 	5.915 	2.761 	0.050 	0.030 	0.142 	2.533 	0.000
32 	3 	504100 	1005362 	0.90 	 2372048 	 5010606 	3.025 	1.325 	0.022 	0.013 	0.069 	1.216 	0.000
64 	3 	504100 	1005362 	0.90 	 2379198 	 5000448 	3.234 	1.455 	0.021 	0.050 	0.108 	1.272 	0.000
