 1 	3 	504100 	1005362 	0.90 	 2237314 	 5030529 	68.869 	37.812 	0.260 	0.095 	1.516 	35.938 	0.000
 2 	3 	504100 	1005362 	0.90 	 2258936 	 5023560 	41.073 	17.947 	0.164 	0.057 	0.881 	16.841 	0.000
 4 	3 	504100 	1005362 	0.90 	 2279080 	 5018907 	21.631 	9.219 	0.081 	0.034 	0.488 	8.612 	0.000
 8 	3 	504100 	1005362 	0.90 	 2336126 	 5020146 	15.826 	5.044 	0.051 	0.028 	0.269 	4.693 	0.000
16 	3 	504100 	1005362 	0.90 	 2385828 	 5015667 	8.151 	2.489 	0.034 	0.024 	0.133 	2.294 	0.000
32 	3 	504100 	1005362 	0.90 	 2381390 	 5013336 	5.459 	1.412 	0.017 	0.024 	0.069 	1.297 	0.000
64 	3 	504100 	1005362 	0.90 	 2373058 	 5007705 	3.871 	1.078 	0.019 	0.022 	0.057 	0.978 	0.000
