 1 	3 	504100 	1005362 	0.90 	 2789221 	 5244786 	111.084 	40.396 	0.628 	0.241 	1.790 	37.732 	0.000
 2 	3 	504100 	1005362 	0.90 	 2779354 	 5244717 	68.953 	20.642 	0.455 	0.169 	1.097 	18.914 	0.000
 4 	3 	504100 	1005362 	0.90 	 2782434 	 5254002 	49.021 	12.409 	0.225 	0.138 	1.070 	10.969 	0.000
 8 	3 	504100 	1005362 	0.90 	 2770289 	 5240136 	20.788 	5.393 	0.114 	0.057 	0.281 	4.937 	0.000
16 	3 	504100 	1005362 	0.90 	 2753048 	 5247318 	15.703 	3.452 	0.076 	0.061 	0.424 	2.886 	0.000
32 	3 	504100 	1005362 	0.90 	 2748293 	 5232585 	7.290 	1.534 	0.035 	0.030 	0.086 	1.377 	0.000
64 	3 	504100 	1005362 	0.90 	 2732601 	 5237451 	8.539 	1.601 	0.055 	0.040 	0.120 	1.381 	0.000
