 1 	3 	504100 	1005362 	0.90 	 2478755 	10396412 	76.607 	5.979 	3.580 	0.706 	1.111 	0.574 	0.000
 2 	3 	504100 	1005362 	0.90 	 2478132 	11694746 	43.909 	3.821 	2.188 	0.379 	0.820 	0.425 	0.000
 4 	3 	504100 	1005362 	0.90 	 2477997 	11693730 	23.857 	2.200 	1.114 	0.215 	0.607 	0.255 	0.000
 8 	3 	504100 	1005362 	0.90 	 2477589 	10400364 	12.915 	1.252 	0.642 	0.106 	0.329 	0.165 	0.000
16 	3 	504100 	1005362 	0.90 	 2477576 	10397300 	7.985 	0.955 	0.469 	0.055 	0.273 	0.149 	0.000
32 	3 	504100 	1005362 	0.90 	 2478392 	10399354 	4.723 	0.841 	0.378 	0.053 	0.324 	0.077 	0.000
64 	3 	504100 	1005362 	0.90 	 2478339 	10394708 	3.635 	0.661 	0.261 	0.022 	0.266 	0.101 	0.000
