 1 	3 	504100 	1005362 	0.90 	 2478113 	10395952 	111.084 	6.949 	3.639 	0.738 	0.988 	1.572 	0.000
 2 	3 	504100 	1005362 	0.90 	 2477609 	10396204 	68.953 	4.185 	1.904 	0.376 	0.682 	1.215 	0.000
 4 	3 	504100 	1005362 	0.90 	 2475947 	10400210 	49.021 	3.149 	1.260 	0.266 	0.619 	0.994 	0.000
 8 	3 	504100 	1005362 	0.90 	 2477263 	10395078 	20.788 	1.486 	0.632 	0.106 	0.288 	0.451 	0.000
16 	3 	504100 	1005362 	0.90 	 2477684 	11700416 	15.703 	1.343 	0.563 	0.097 	0.276 	0.396 	0.000
32 	3 	504100 	1005362 	0.90 	 2477373 	11689586 	7.290 	0.971 	0.403 	0.038 	0.283 	0.235 	0.000
64 	3 	504100 	1005362 	0.90 	 2477924 	10393642 	8.539 	0.861 	0.346 	0.051 	0.207 	0.245 	0.000
