 1 	3 	504100 	1005362 	0.90 	 2478261 	10395944 	75.324 	6.106 	3.597 	0.744 	1.164 	0.589 	0.000
 2 	3 	504100 	1005362 	0.90 	 2478001 	11696104 	44.074 	3.824 	2.136 	0.380 	0.884 	0.414 	0.000
 4 	3 	504100 	1005362 	0.90 	 2477809 	11688470 	23.464 	2.072 	1.133 	0.198 	0.487 	0.243 	0.000
 8 	3 	504100 	1005362 	0.90 	 2477576 	10396342 	15.338 	1.552 	0.797 	0.152 	0.408 	0.184 	0.000
16 	3 	504100 	1005362 	0.90 	 2478034 	10393794 	7.643 	0.934 	0.470 	0.068 	0.245 	0.142 	0.000
32 	3 	504100 	1005362 	0.90 	 2477788 	10394498 	5.455 	0.896 	0.474 	0.065 	0.246 	0.099 	0.000
64 	3 	504100 	1005362 	0.90 	 2477850 	10393774 	4.734 	0.685 	0.333 	0.056 	0.180 	0.106 	0.000
