 1 	1 	10000 	19602 	0.90 	   19102 	   66406 	0.714 	0.049 	0.025 	0.005 	0.006 	0.009 	0.000
 1 	3 	10000 	19602 	0.90 	   19821 	  112500 	1.388 	0.073 	0.038 	0.005 	0.006 	0.013 	0.000
 1 	5 	10000 	19602 	0.90 	   19906 	  156736 	2.093 	0.099 	0.055 	0.005 	0.006 	0.020 	0.000
 1 	5 	10000 	19602 	0.90 	   19906 	  156736 	2.104 	0.102 	0.058 	0.005 	0.006 	0.022 	0.000
 4 	5 	10000 	19602 	0.90 	   19913 	  157059 	1.238 	0.078 	0.048 	0.002 	0.005 	0.012 	0.000
 4 	3 	101124 	200978 	0.90 	  259054 	 1788136 	7.707 	0.557 	0.315 	0.035 	0.065 	0.132 	0.000
