 1 	3 	504100 	1005362 	0.90 	 2478755 	10396412 	75.284 	5.996 	3.579 	0.754 	1.086 	0.567 	0.000
 2 	3 	504100 	1005362 	0.90 	 2478695 	11697440 	43.556 	3.712 	2.106 	0.372 	0.807 	0.417 	0.000
 4 	3 	504100 	1005362 	0.90 	 2479232 	10397588 	23.105 	1.954 	1.039 	0.195 	0.469 	0.242 	0.000
 8 	3 	504100 	1005362 	0.90 	 2478286 	10394230 	13.122 	1.274 	0.641 	0.118 	0.345 	0.157 	0.000
16 	3 	504100 	1005362 	0.90 	 2478320 	10395830 	7.757 	0.968 	0.447 	0.062 	0.300 	0.150 	0.000
32 	3 	504100 	1005362 	0.90 	 2477923 	10394608 	4.712 	0.783 	0.440 	0.034 	0.202 	0.096 	0.000
64 	3 	504100 	1005362 	0.90 	 2477847 	10396896 	3.497 	0.546 	0.249 	0.037 	0.159 	0.090 	0.000
