 4 	3 	504100 	1005362 	0.90 	  627042 	 7123402 	143.908 	5.957 	4.559 	0.487 	0.343 	0.558 	0.000
 8 	3 	504100 	1005362 	0.90 	  626427 	 7123448 	75.661 	3.135 	2.396 	0.249 	0.182 	0.299 	0.000
16 	3 	504100 	1005362 	0.90 	  626608 	 7120842 	39.018 	1.605 	1.227 	0.126 	0.104 	0.140 	0.000
32 	3 	504100 	1005362 	0.90 	  626425 	 7118613 	19.806 	0.978 	0.782 	0.062 	0.055 	0.070 	0.000
64 	3 	504100 	1005362 	0.90 	  626629 	 7117002 	11.094 	0.669 	0.538 	0.031 	0.052 	0.038 	0.000
128 	3 	504100 	1005362 	0.90 	  626524 	 7118017 	7.749 	0.711 	0.584 	0.016 	0.059 	0.040 	0.000
256 	3 	504100 	1005362 	0.90 	  626502 	 7118288 	9.355 	0.802 	0.649 	0.009 	0.082 	0.056 	0.000
