refine      2.30	0.52	0.25	2.71	0.48	0.73	3.56	0.58	0.35	4.76	1.03	1.08
collapse    6.19	0.38	0.41	13.48	0.49	7.72	11.03	0.47	0.92	20.31	0.85	9.90
swap        1.96	0.46	0.08	9.07	0.47	7.16	4.49	1.04	0.61	1.57	1.06	7.24
